"20","atomic-model-set-junior","1","1","1","1-20","Atomic Model Set Junior",NULL,"product/category.jpg","2","0","0","Buy Online Atomic Model Set Junior in India | Biomall","atomic model set junior,molecular model kit,biomall,India","Buy online Atomic Model Set Junior in india at Biomall.in. Ideal for building complex organic and inorganic molecules.
","2016-02-08 17:57:23","2016-08-20 14:35:04"
"21","basket","1","1","1","1-21","Basket","Basket for test tube
These Baskets are designed to hold a large number of test tubes together which is very useful for washing/rinsing them as the design allows easy drainage of water. Tubes can easily be inverted to drain. These baskets are also very useful for storage of test tubes or culture tubes for incubation or sterilization. A cage-like structure along with the lid is what constitutes a typical basket. Essential for Chemistry and Biology setups where test tubes are used in bulk.
Characteristics
• Available in various sizes 
• Autoclavable and ideal for mechanical washing 
• Made of Propylene
","product/category.jpg","3","1","0","Buy Online Laboratory Beakers & Carboy in India | Biomall","laboratory beakers carboys,biomall,India","Buy online scientific laboratory beakers & carboys in India at Biomall.in. Ideal for mixing, stirring and heating liquids in laboratories.
","2016-02-08 17:58:03","2017-04-12 11:09:33"
"22","beakers-and-carboy","1","1","1","1-22","Beakers and Carboy","Breakers are one of the most widely used equipment in a laboratory setups. Just like flasks, they are used for transfer, heating, stirring and mixing volumes of liquids. These are Graduated lab-wares cylindrical in the shape they come in with a handle. It can even be used for dry measures. One advantage of using non-glass beakers are the light weight and noncrushable character they offer. 
Characteristics 

•    Made of TPX Polymethylpentene transparent polymer with low density. 
•    Durable Heat, chemical, and steam resistance.
•    Autoclavable.
•    Available in wide range of sizes from 10 mL to 2 L.
•    Microwave friendly.","product/category.jpg","3","1","1","Buy  Online Laboratory Beakers & Carboy in India | Biomall","Beakers bottles,cylinders and glassware,beakers,bottles,cylinders,glassware","Shop online for a wide selection of various brands. It can be thrown away after use or steam-autoclaved for reuse""","2016-02-08 17:58:40","2017-04-12 17:33:10"
"23","boxes","1","1","1","1-23","Boxes","Staining box
Agarose gel electrophoresis is a molecular biology/biochemistry technique to separate macromolecules like the DNA, RNA or protein on an agarose gel. Staining boxes or trays serves as an assistance to the electrophoresis apparatus which is used to stain, fix or defix the molecules by holding the staining reagent. These boxes are also useful in blotting experiments. After processing the liquid is flushed out without affecting the even gel. Grooved lid design helps in achieving proper stability. Made of clear plastic like Polymethylpentene improving visibility. Microwavable, easy to clean and stackable. Suitable for use with wide range acid, alkalis, and other solvents. A wide range of sizes of trays is available.
","product/category.jpg","3","1","0","Buy Online Laboratory Bottles in India | Biomall","laboratory boxes,storage containers,biomall,India","Buy online laboratory boxes in India at Biomall.in. Get wide range of storage containers and microtube box ideal for clinical lab use.
","2016-02-08 17:59:44","2017-03-24 18:07:26"
"24","centrifuge-tubes","1","1","1","1-24","Centrifuge Tubes",NULL,"product/category.jpg","5","0","0","Buy Online Laboratory Centrifuge Tubes in India | Biomall","centrifuge tubes,centrifuge price,lab centrifuge,biomall,India","Buy online laboratory centrifuge tubes in India at Biomall.in. Get wide range of centrifuge tubes ideal for clinical and research lab use at best price.
","2016-02-08 18:00:13","2016-08-13 13:32:25"
"25","clamp-and-stand","1","1","1","1-25","Clamp and Stand",NULL,"product/category.jpg","6","0","0","Buy Online Laboratory clamp & stand in India | Biomall","laboratory clamp,lab stand,biomall,India","Buy online laboratory clamp & stand in India at Biomall.in ideal to hold a container or given substance during an experiment involving heating  process.
","2016-02-08 18:00:43","2016-08-13 13:35:49"
"26","connector","1","1","1","1-26","Connector","Connectors are used for various purposes in the laboratory and industrial setups. This could be for piping, tubing, and fitting. They can let pass liquids and gasses through them. They can tolerate both high temperature and high pressures. They may be made of polyethylene, polyvinyl chloride or metals like copper or steel. They are also produced in various shapes and sizes to fit for different kinds of roles.
It is important to consider all these factors before selecting them.

","product/category.jpg","7","1","0","Buy Online Laboratory y connectors in India | Biomall","lab connector,y connector,biomall,India","Buy online laboratory y connectors in India at Biomall.in. Get wide range of adaptors and connectors ideal for research and clinical labs at best price.
","2016-02-08 18:01:11","2017-04-12 12:57:09"
"27","cooler-and-cryoware","1","1","1","1-27","Cooler and Cryoware",NULL,"product/category.jpg","7","0","0","Buy Online Laboratory Cooler & Cryoware, India | Biomall","laboratory coolers,laboratory chillers,biomall,India","Buy online laboratory coolers and cryoware in India at Biomall.in. Get wide range of cryoware, lab chillers  ideal for research and clinical labs at best price.
","2016-02-08 18:01:40","2016-08-13 13:37:54"
"28","energy-regulator","1","1","1","1-28","Energy Regulator","Energy regulators
The cost and maintenance of electricity and electrical appliances in a laboratory setup are something to keep in mind. Energy regulators act between the power source and the appliances. Their role is to provide the energy only of what is required. They are very useful especially where the current is fluctuating.
","product/category.jpg","8","1","0","Buy Online Energy Regulator in India | Biomall","energy regulator,India,Biomall","Buy Online Energy Regulator used in Laboratory in India. Energy regulators role is to provide the energy only of what is required.","2016-02-08 18:02:12","2017-07-25 17:44:55"
"29","filters","1","1","1","1-29","Filters","Syringe filter is used for a fast and efficient filtration that gives a precise quantity of the filtrate.  The filter is attached to the tip of the syringe and the liquid is filtered as the syringe is pressed. The body of the filter is supported by a disc which is about 25 micrometer in diameter. They filter out of the particles from solvents is useful for techniques like High-pressure liquid Chromatography (HPLC). Their applications are in biotechnology, microbiology, chemistry, agriculture, food and beverage industry etc. 
Characteristics
• They are used for both sterile and nonsterile applications.
• Filters can be of several different materials such polyvinylidene fluoride (PVDF), Nylon, surfactant free cellulose acetate (SCFA), Polyether sulfone (PES) etc.
• Pore size 0.22 micron.
• Hydrophobic.
• Reusable.","product/category.jpg","9","1","0","Buy Online Laboratory PFTE Filters, India | Biomall","pfte filters,laboratory filters,hydrophobic filters,biomall,India","Buy online laboratory pfte filters in India at Biomall.in. Get wide range of hydrophobic pfte filters ideal for research and clinical labs.
","2016-02-08 18:02:37","2017-04-19 12:16:34"
"30","flasks","1","1","1","1-30","Flasks","Conical flask
Named after German chemist Emil Erlenmeyer, Erlenmeyer flask or conical flask (or titration flask) are one of the most widely used glassware in biological and chemistry industries and laboratories. Made of borosilicate glass amongst other forms of glass it is useful for titration by placing it under a burette and for dissolving the solutes and/or mixing/transferring of liquids (solvents or solution). It can also be used as a support for filter funnel for carrying out filtration. In biology it is very useful for making media, growing microbial culture by incubating it or by keeping it on a shaker to promote aeration/ oxygenation.
Characteristics
• Flat bottom
• Conical body 
• Narrow neck with round opening 
• Available in large range of sizes (10 to 1000 mL)
• Autoclavable and reusable
","product/category.jpg","9","1","0","Buy Online Laboratory Conical flask, India | Biomall","conical flask,volumetric flask,biomall,India","Buy online laboratory conical flask in India at Biomall.in. Get wide range of flask including volumetric flask ideal for research and clinical purposes at best price.
","2016-02-08 18:04:09","2017-04-12 12:50:02"
"31","funnel","1","1","1","1-31","Funnel","Funnel
With a narrow tube and a wide mouth, a funnel is used to transfer liquids (be it solvents or other chemicals) and powders like salts used in the lab into a lab-ware with a small opening. They are very useful in preventing spillage. There are some specially designed funnels which filter as well, alternatively a filter paper can be used. A paper may also be used to avoid cleaning.  It is important that the size and capacity of the object into which the filtrate (solute or liquid) is collected is considered so as to avoid overflow. A very useful apparatus/tool for biology and chemistry labs/industries.
Characteristics
• Made of inert glass or nonreactive polypropylene
• Round or conical shaped opening
• Available in various sizes
• Autoclavable and reusable","product/category.jpg","11","1","1","Buy Online Laboratory Glass Funnel, India | Biomall","laboratory funnel,seperating funnel,biomall,India","Buy online laboratory glass funnel in India at Biomall.in. We have wide range of seperating funnel ideal for research and clinical purposes at best price.","2016-02-08 18:05:05","2017-04-12 15:03:35"
"32","gloves","1","1","1","1-32","Gloves","Nitrile gloves
Gloves are one of the most basic requirements of scientific laboratories and manufacturing industries. These Nitrile gloves are made of synthetic rubber called acrylonitrile butadiene rubber or NBR. They are extremely resistant to chemicals (powder or solvents), punctures or tears. Nitrile is excellent for people who are allergic to latex. Some gloves are powdered using cornstarch etc. which helps in removing them especially when hands are wet.

Characteristics
• Latex free
• Both sterile and nonsterile version available
• Available in various sizes and color
• Comfortable to wear
• Strong and cost effective 
• Powder free and lightly powdered versions available
• Recyclable","product/category.jpg","15","1","0","Buy Online Laboratory Gloves, India | Biomall","surgical gloves,lab gloves,safety gloves,biomall,India","Buy online laboratory chemical resistant safety gloves in India at Biomall.in. We have wide range of latex, netrile and surgical gloves at best price.","2016-02-08 18:05:49","2017-04-14 17:02:20"
"33","magnetic-bars","1","1","1","1-33","Magnetic Bars","Magnetic stirrer bar (also known as 'beads' and 'flea') are tools that rotate and generate stirring action when immersed in a liquid which is placed on a magnetic stirrer plate. These strong magnet bars are coated with polytetrafluoroethylene (PTFE) or a suitable glass material which is chemically inert, hydrophobic and heat and corrosion resistant. They function as vital accessories to the hot plate. They can easily be retrieved/removed from the flask after their usage. These bars of various sizes ranging from very small to large and different types of shape are available in kits, sets, offered by different brands. 
Types
• The standard bar is round and smooth. A pivot ring at the center acts as the point of rotation. This reduces friction and increases the stirring efficiency.
• A triangular or polygonal shape generates stronger vortex and more turbulence than cylindrical or round shape bars
• Octagonal or egg-shaped bar generates even stronger vortex and turbulence and is more suited for higher rpms. Oval and egg shaped bars are ideal for flasks with a round or curved bottom.","product/category.jpg","4","1","0","Buy Online Laboratory Magnetic Stirrer and Bars, India | Biomall","magnetic stirrer,laboratory stirrer,magnetic bars,biomall,India","Buy online laboratory magnetic stirrer and bars in India at Biomall.in. We have wide range of magnetic stirring bars ideal for rotating fluid samples.
","2016-02-08 18:06:20","2017-04-12 17:20:41"
"34","measuring-cylinder","1","1","1","1-34","Measuring Cylinder ","Measuring cylinders, also known as graduated or mixing cylinders are used to accurately measure the liquid. They are one of the most widely used lab-ware/glassware. They are cylindrical and narrow in shape. While measuring, the center of the meniscus of the liquid should coincide with the marking on the cylinder when it is kept at eye level. They are calibrated so as to either have the precise volume inside the container as the mark shows or to deliver the exact volume as the shown by the marking. These are named as symbols ‘IN’ and ‘EX’ respectively.
Characteristics
• Made of polypropylene or polymethyl pentene.
• 10 to 2000 mL of volume.
• Autoclavable.
• Less fragile.","product/category.jpg","8","1","0","Buy Online Laboratory Measuring Cylinder, India | Biomall","measuring cylinder,laboratory measuring cylinder,biomall,India","Buy online laboratory measuring cylinder in India at Biomall.in. Get these cylinders at best price ideal for measuring the volume of a liquid.
","2016-02-08 18:06:54","2017-04-12 17:45:05"
"35","measuring-scoop","1","1","1","1-35","Measuring Scoop","Measuring scoops are simply designed scoops used to measure a specific amount of liquid. Usually cup-shaped, they are also very useful in transferring salts and ice in the laboratories.   An aluminum foil may be wrapped around the scoop while handling a very aggressive chemical. They are useful in weighing the powders as well. A fine polish on the material provides a non-sticky texture. Apart from biology and chemistry labs they are useful in kitchen of all sorts.

Characteristics
• Made of polypropylene or acrylic.
• 5 ml to a 1000 mL capacity.
• Durable, heat and chemical resistant.
• Washable and autoclavable.
• Available in various sizes and shapes.","product/category.jpg","18","0","0","Buy Online Laboratory Measuring Scoop and Cups, India | Biomall","measuring cups,measuring spoons,biomall,India","Buy online laboratory measuring scoops and cups in India at Biomall.in. Get wide range of filling scoops, measuring spoons, hand scoop used in laboratories at best price.
","2016-02-08 18:08:04","2017-04-12 17:50:50"
"36","membrane-filter","1","29","2","1-29-36","Membrane Filter","Membrane filtration is a process of filtering liquid by passing it through a membrane (made of cellulose acetate or mixed cellulose esters etc.) which has pores small enough to hold selected microbes and large enough to let the liquid pass through. The pore size can be from 0.22 to 0.45 micrometer. The process is useful in cleaning the liquid and capturing the bacteria. The filters are generally incubated for some time to observe the growth of microbial colonies on them and in some cases they are directly transferred onto the plate having the culture medium. A filter holder is required to hold a certain volume of liquid until it passes through the membrane.
Characteristics
• Made of durable plastic.
• Autoclavable.
• 500 to 1000 mL capacity.
• Some designs have a tool to collect filtrate as well.
","product/category.jpg","19","1","0","Buy Online Laboratory Membrane filter, India | Biomall","measuring cups,measuring spoons,biomall,India","Buy online laboratory membrane filter in India at Biomall.in. Get wide range of filter membrane, filter holder used in laboratories at best price.
","2016-02-08 18:08:48","2017-05-02 16:41:53"
"37","micro-centrifuge-tubes","1","1","1","1-37","Micro-Centrifuge tubes","Microtube
One of the most basic requirements of a biological laboratory are the microtubes. These may refer to microcentrifuge tubes, Eppendorf tubes or PCR tubes. They are made of plastic (polymer polypropylene). They are suitable for both sterile and non-sterile conditions. With a suitable diameter, they can easily be used for centrifugation while balancing the rotor. They are economical and very useful in DNA/RNA extraction, amplification, PCR, blotting experiments, gel electrophoresis etc. They may require a rack/box for their storage and usage.

Characteristics
• They can store from a few microliter to 5-milliliter volumes of liquid.
• Have a rough space for labeling.
• Available in round, conical and flat bottoms.
• Durable.
• Autoclavable.
• Disposable.
","product/category.jpg","21","1","0","Buy Online Microcentrifuge Tubes in India | Biomall","microcentrifuge tube,microfuge tubes,biomall,India","Buy online microcentrifuge tubes in India at Biomall.in for best price. A microcentrifuge is small device used for separating materials of different densities in microcentrifuge tubes. 
","2016-02-08 18:09:36","2017-04-14 16:47:14"
"38","micro-test-plate","1","1","1","1-38","Micro-Test Plate",NULL,"product/category.jpg","13","0","0","Buy Online Micro test plates in India | Biomall","micro test plates, biomall, India","Buy online laboratory micro test plates in India at Biomall.in.Get wide range of microtest plates for research and clinical labs at best price. 
","2016-02-08 18:10:17","2016-08-16 10:38:34"
"39","miscellaneous","0","1","1","1-39","Miscellaneous",NULL,"product/category.jpg","12","1","0",,,,"2016-02-08 18:11:13","0000-00-00 00:00:00"
"40","petri-dish","1","1","1","1-40","Petri dish","Petri dish (cell culture dish Petri plates)
Named after German Bacteriologist, Petri dishes are shallow dishes used for culturing cells, bacteria, and mosses. Nutrient Agar or other suitable ingredients having blood, cholesterol, salts, and carbohydrate etc. is widely used to culture bacteria for microbiological assays and experiments like those involving antibiotic and viruses (phages). Even Eukaryotes like yeast can be cultured on Petri plates. They have a lid which makes aeration possible. These are cylindrical in shape and can be stacked one upon another.
Characteristics
• Made of glass or plastic
• Glass ones are autoclavable and reusable
• Available in wide range sizes having different diameters
","product/category.jpg","25","1","0","Buy Online Laboratory Petri dish in India | Biomall","laboratory petri dish,biomall,India","Buy online laboratory petri dish in India at Biomall.in. Get wide range of petri dish for research and clinical labs at best price. 
","2016-02-08 18:11:54","2017-03-22 17:50:44"
"41","plant-tissue-culture","0","1","1","1-41","Plant Tissue Culture",NULL,"product/category.jpg","21","1","0",,,,"2016-02-08 18:12:25","0000-00-00 00:00:00"
